3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
we gotta get you some yummy food.,and then there's mashed potatoes.,no butter.,who's that.,I think you're right.,that's a cow.,I think it is like a potato.,it's a car.,I'm making it into a pizza.,they're gonna go to a baseball game together.,what's this.,well it's a beautiful bird.,I think you just want me to give you the peanut butter.,I have your favorite toy.,I think you might be playing with your toy truck.,what's this.,I'm sorry I didn't tell you that.,that's a good idea.,wanna put it on your face.,you know what he says when he wants more.,oh.,you got any more.,here we go.,you have two dolls.,you're right you're right.,what's that.,oh you're a cat.,that's not a cat.
hey.,uh huh.,that's a fish.,that's mommy's.,that's your brother.,where's the goose.,oh it is a caterpillar.,what's that.,what's that.,yeah.,and the birds.,oh look that's a birdie.,how come he can't get it.,a big dinosaur.,what's that.,okay we'll try to get them to the cage.,oh.,they're so good to eat.,a duck.,I'm sorry.,okay.,yeah.,oh.,the train's moving down the tracks.,that's a picture of a house.,here's the bunny.,that's a cat.,what's this.
milk.,do you have a cookie.,we're not eating the food.,we're gonna go see grandma today.,I'm going to get some things for him.,let's see what we have.,I think that's a fish.,here's the yellow and the blue.,we'll put the spaghetti in there.,you can't go to the zoo with me because you're too little.,that's a bluebird.,oh.,and then they'll eat their breakfast and they'll go to school.,there you go.,okay.,you know what the cat said?,they're really big.,do you know what a tuna sandwich is.,uh huh.,yep.,I love it.,yeah you're right.,oh.,okay.,who are these.,here's a baby doll.,huh.,this is the house that the kitty lived in.
that's a waffle.,look at this baby.,peaches and ice cream.,yeah.,yes.,what are they.,who's got the spoon.,yes.,what's that.,and it's the one that's made out of paper.,I saw one at the zoo.,yeah there's a robin.,let's make you a little bit of cheese.,we'll put them back.,yeah.,and then she gets up.,they're not that loud.,did you make some more.,that's right.,no.,okay.,what's a rabbit?,oh you can draw birds.,well let's see.,you see a little boy with a little girl in the house.,here's a little guy.,you're holding a cat.,oh it's a nice kitty.
milk.,and some cheese.,it's a tomato.,look at the people.,let's put some more stuff in the box.,right.,we should take a break.,yeah.,you got a spoon.,oh that's your uncle.,it's a duck.,that's the owl.,you need some cereal.,you don't see.,and the dog and the bear.,yeah.,who is the daddy.,well it's a lot of food.,we need to do what with the birds.,okay.,yes.,that's a sheep.,look at that.,yeah.,can we put it on the dining room table.,are they playing with that.,and the cat's furry.,oh.
there's milk.,and the orange juice.,mmm.,that's a nice blue one.,and there's his dad.,yeah.,it's a little bit of water and a little bit of food.,let me show you.,oh no.,are you two the kitties.,he's looking for a nice spot to land.,bird.,we're gonna have a little more of this.,oh yeah that's not what I mean.,what's that.,yeah you see what he's gonna eat.,what do we do in the house.,okay.,what's a parrot.,what does it say.,yeah.,right.,the bird went to the pond.,I think you might be saying that.,that's right.,we have a lot of toys.,I'm not a cat.,I think that's a cat.
oh.,cheese and crackers.,okay.,well I'm the mother of the little boy.,okay.,do you wanna make the cow's tail look like the cow's tail.,peas.,and then you'll play with them.,yeah.,that's her mommy.,and then you're done.,that's a bird.,what are you gonna do.,no.,and a book.,so you want to put the cat in the carrier.,you can make a house and a tree.,right.,a birdie.,okay.,you're just gonna sit there in the corner.,that's a penguin.,what's that.,the one that's green and it has a man on it and then the one that's yellow.,we can't.,I think you got toys.,well here's a cat.,what is this?
milk.,what's this.,mhm.,and Daddy.,I'm so proud of you.,who's that.,you're going to have to go get some more ice.,uh-huh.,I know.,I know.,that's right.,you know birds.,and they're sweet and yummy and they're in a can.,here's a big one.,see this one.,no that's not a cat.,okay.,yeah that's like a little bit of a burger.,he was a little bit scared of the sparrows.,what's on this.,oh yeah.,I'm not quite sure what the right answer is.,wanna draw a bird.,okay.,wanna draw some pictures.,the ball.,a cat.,you don't need to do that.
yeah.,yeah.,you eat a yummy yummy pear.,do you remember Daddy.,no I don't wanna eat the mango.,yeah.,you can eat it.,see the red one.,you can eat the juice.,we're gonna go to the bathroom.,what's this bird's name?,wow you're a good hunter.,we'll need a knife to cut it.,it's a truck.,what's in the box.,"oh, what's the name of the cat.",oh.,that's the potato.,he was just a baby.,a lot of fish.,they're not so good.,there's a bunny.,what kind of bird is that.,no you can't have it.,you can't put your shoes on the bed.,and then we can see the dinosaurs.,"oh, oh.",and it's like a woolly mouse.
and he's going to eat some.,and I'm going to eat it with you.,it's all right.,this is mommy.,oh he can't see it.,and now it's the bear.,can you get some.,there are some toys in there.,and then we're going to have pancakes for breakfast.,you know what.,there's a bird on the tree.,oh.,I see.,they're for little kids.,do you want to go play with them.,the kitty is sleeping.,that's what it's for.,it's a good choice.,no bird.,we'll put the rest of the eggs on the griddle.,here's your car.,the bull moose.,you have a birdie.,they're your crayons.,yeah we can get a new couch.,the truck.,oh yeah.,a cat.
