3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
and now we see the cat.,oh.,well.,and he's driving.,cat.,wanna go get a dog.,what is that.,wanna hear a story.,you're gonna turn it off.,you're good.,that's a robin.,they're so cute.,you wanna read to me.,what's that.,okay.,it's so good.,you like them.,oh you have the toys.,oh that's right.,oh.,what's that.,okay let's go.,well you know what she's doing.,what's this.,okay.,okay.,do you think it's a baby monkey.,it's not a car it's a train.
wow what a cute kitty.,look at the houses.,no.,the car is running.,a little baby.,you're gonna have a bone.,hey bird.,what's that.,it's a little bit like a soccer ball.,do you see the cat.,look at that bird.,you see the birds fly high.,and then we'll sit in the bedroom and you'll watch tv and we'll make cookies.,this is the cat.,okay.,look at the dog.,what's the word.,this is the little train.,I'm sorry I got the wrong house number.,I'm gonna go to your room now.,she's a cat.,and a dog.,oh that's your friend.,we're gonna have a good time.,you're doing a great job.,oh my gosh.,they eat cows and horses.,it's a car.
the kitty's going to the vet.,where's the bathroom.,can you open it for me.,I don't see any cars.,let's say it's a cat.,look at the dog.,bird.,there's a bird.,you got a lot of toys.,no.,what are you holding.,yeah.,she's having a bath.,this is a cat.,what's this.,no.,there's a little bit of something in here.,a little toy.,okay we're gonna go find the door and then we'll find a way to get back in.,okay.,it's a cat.,hm.,okay.,and what do you see.,who's that.,it's a good place to eat.,they're all out there.,go.
okay there's a cat.,okay.,hey.,what's that.,good boy.,bark bark bark.,uh oh.,that's a seagull.,that's a bicycle.,there's a cat.,you know what? that bird has a beautiful song.,that's a penguin.,and they can put them in the washing machine.,oh that's a big cat.,there's your house.,we're going to get you a new dog.,where did that come from.,and the truck's on the side of the road.,can you put the chair back where it belongs.,well.,and the cat's fur.,no he wasn't.,the kids played with the kittens.,there's a carpet.,you have a room.,oh and they're not gonna go in the house.,well you can go over there.,you know what that is.
kitty.,we're gonna go to the house.,good job.,and you can see the wheels.,oh this cat says miaow miaow.,and see the kittens.,there's a little bird on the branch.,you're looking at birds.,okay.,oh.,bird.,oh look a pigeon.,this house.,oh you can't play with cats.,oh you got your house.,what's a kitten?,how's that look.,and a truck.,oh that's a toy.,you can see what he looks like.,she's got a white tail.,yeah that's not how it goes.,you've got a big box.,it's all the way downstairs.,okay.,oh my gosh what is this one.,you see that baby seal there.,go.
a kitty cat.,where's the house.,I think the person is a little boy.,that's the car.,come here and give her a hug.,and he's so cute.,look at the bird.,there's a bird.,where's the bear.,she's a cute cat.,he's in a nest.,he's a red robin.,can I go to the bathroom.,it's the kitty that sleeps in your room.,well the kids will need a new couch.,do you see this one.,no.,I mean it's just not safe.,it's a little bit of a mess.,can I see the pictures.,oh you got a cat.,and we go to the zoo.,okay.,we're gonna do it in the house.,that's right.,do you wanna take it with you.,do you see the big tiger with the little tiger.,that's a car.
here's a cat.,it's the house where they live.,oh that's just a picture.,what's that.,oh that's a big cat.,what's that.,birdie.,that's a hawk.,and the ball went in the basket.,and then she gets her teeth brushed and her hair brushed and then she's all ready to go to bed.,and it has a little tail.,that's a hawk.,she's got a little dress on.,do you have a kitten.,well you're going to clean up the room.,they're just puppies.,that's a nice one.,and it's got a little truck and a little car.,you're going to make the bed.,and then it's gonna be a fun day.,okay.,and then we'll be together.,that's a cute truck.,the house is kind of like a person.,so it's like the stairs.,yeah it's the bathroom.,well it's just a little bit of a story.,uh oh.
and a cat.,come on.,that's your grandma.,oh the car.,oh.,we'll make a little dog with our fingers.,he's gonna fly.,a little bit of birdie.,you're right.,that's right.,I see the bird.,what does the little birdie say?,okay.,well I'm gonna put it back on.,okay.,this is a dog.,yeah.,that's what it's called.,do you wanna go and see the house.,where did you put those shoes.,that's a cat.,oh.,what's that.,yeah.,you can clean it out with water.,oh this one is a big house.,this is a horse.,we'll go to the car.
we see a kitty kitty.,it's a house.,there's the little girl.,look at the car.,what a nice cat.,doggy.,a bird.,what's a bird.,where's the doll.,yes you can get a kitten for your birthday.,oh.,the bird is in the tree.,okay.,what's that.,oh what's this.,no no we're not going to be getting one.,what's that.,we're going to read them to you.,so we can put the new things in the back and the old things in the front.,oh.,do you like cats.,I don't know.,we can put them away and play with them tomorrow.,where's the door.,what kind of house is it.,you can't have that one.,see what kind of animals they have.,and it's a green.
there's a cat.,and the house that Jack built.,mommy.,here's the car.,yeah.,and you can go inside.,little bird.,look at the birds on the tree.,what's this.,you can't say cat.,there are birds in the sky.,and then he goes and does that.,do you wanna go to the house and watch movies.,what do you think is this.,I think you're right.,it's a good day for a walk.,you got a sandwich too.,okay.,oh I don't know how to open it.,and then you'll have a whole bunch of new little siblings.,okay.,okay.,this is a truck.,and you gotta use it for cleaning up.,how did you make that.,there's a little house.,no he's not there.,there's a car.
