3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
wow that cat is big.,okay.,that's a cute dog.,and then she's a cow.,do you want some more of that.,it's a bird.,a. go ahead.,cat's out of the bag.,it's not on.,and then they're all in a zoo.,you can have one for your birthday.,let's get the car.,and it's a giraffe.,no but we can go down the stairs and see the bunnies.,I'll take the doll and I'll take the train.,that's a fire truck.,you're right.,that's a tire.,oh.,it's not a dog.,there is a piece of cake in that dish.,we're gonna go visit dad's mom this weekend.,let's put it in the freezer.,you wanna go see the house.,that's a cute bird.,you want it.,well if they're not going to play then they're probably going to sleep.,that's right.
kitty kitty.,I'm sorry.,I'm gonna go take a nap.,go and find the giraffe.,what did you say.,birdie.,see the dog.,what's that.,okay.,you wanna go outside.,let's see.,a car with tires.,wanna play with this animal.,that's right.,yeah.,okay.,yeah.,see that car.,uh huh.,he's in the forest.,uh huh.,you don't have to.,I'm sorry.,it's a big house.,a bird.,that's a doll.,I'm going to the park with the dog today.,oh you're going to be a big sister.
see the cat.,okay.,wanna put it on your shoulder.,the caterpillar is crawling.,yes.,we got a bird.,and see if there's one in there.,here's a cat.,we're gonna go get a little piece of bread.,see this baby.,there's a little girl in the front yard with the train.,uhoh.,you know what's interesting about that.,what's that.,what's this.,I can see a toy in the sink.,you like animals too.,that's a motorcycle.,yeah.,they have three legs.,you wanna eat something.,the cows on the farm.,okay.,and then we go to bed.,you wanna watch it.,that's a big teddy bear.,yeah.,no we have to leave.
it's a cat.,that's a bathroom.,okay.,I think we'll go get the puppy.,I think so.,he's a little duckling.,that's a really nice dog.,and then the cat went.,there's a bedroom.,here's a duck.,yeah.,you have a red car.,yeah that's right.,that's a horse.,yeah.,oh.,well you know there are lots of animals and they're all over the earth.,do you want a stroller.,oh you see the car.,here's a bear.,you can't eat that because it's hot.,we'll be back in a minute.,we're going to go to the salad bar and put lettuce and tomatoes and peppers on our sandwich.,hey look at the house.,you wanna have some more bird seeds.,I'm going to throw that ball.,you go play with the other dogs.,and there's your cousin and her friend.
a cat.,let's go.,you're gonna put a bone in the dog's mouth.,that's a frog.,no you're gonna get it.,what is that.,you can't eat this one.,oh he's got the eye in his ear.,what's in your room.,and I'll be there.,it's got a little box.,okay.,yeah.,that's a good idea.,wanna see the other toys.,the boy who was the boy who had the toys.,do you see a sheep.,and you'll be a carpenter.,go get it.,oh.,I don't know what that is.,you're not getting into bed with me.,you like pancakes.,you know it's a cool place to be when you can have your own room.,there's a red cardinal.,let's make it.,what's the name of the dog's name.,okay you know what.
kitty.,there's a house.,oh.,see the pig.,right.,he's a nice bird.,they're going for a ride in the car.,there's a cat sitting in the chair.,wow.,a cat.,the big one's the right one for you.,that's the car.,we have to.,you know what they say about the tigers.,let's put these back where they belong.,I'll bring that for you.,and then we went over to the zoo.,is it on the floor.,that's right.,okay.,this is the best way to eat them.,and the kids.,"oh, you need something.",and when we get home we can go outside.,he goes flying.,no we'll play with the blocks.,they're barking.,and I guess you guys go to bed together.
see the cat.,oh yeah.,and they're barking.,he's gonna play with the bear.,I'm sorry.,there's a bird.,yes.,we're gonna go get a kitty.,you gonna move it.,that's a goat.,there's one.,yeah we've got a nice little car.,and a baby.,oh he doesn't even like the little puppy.,can you say playroom.,you're gonna build a castle with your blocks.,it's a panda.,this is a car.,the car is in the garage.,that's a cow.,oh I don't know.,and who's the other one.,right.,"okay, see you next week.",oh yeah.,it's a car.,that's right.,you know what else we have.
cat.,oh look at the house.,right.,we'll go down to the park.,oh yeah.,it's a robin.,dog.,it's a cute cat.,yeah.,oh look at the big bird.,here's one.,where are you taking us.,the cats the dogs the birds the fish.,it's a caterpillar.,what do you think you're gonna play with.,let's see what he's doing.,and that's a cat.,it's really old.,you see a car.,what is that.,that's right.,can you go get your dad.,okay.,where does the house go.,a bird.,what's that.,"oh, you got a dog.",oh my gosh.
kitty kitty.,here's the house.,a little dog.,go away.,Mommy's baby.,a. okay.,let's play with the dog.,where's the cat.,do you have any crayons in here.,what is that.,okay.,you know how you go on the bus.,that's a moose.,he had a little bunny.,there's a blue truck.,they're both on a tray.,and a little bit of this.,and then the tire goes back on the car.,I guess you're going to have to find a way to make that stop.,yeah.,can you say it.,he's going to have to get a job.,I'll just take a quick look.,you've got a bed in there.,that's a robin.,oh you need to put the cars away.,they're both called dogs.,who's that one.
come on.,no.,oh look what he did.,can you see the monkey.,that's your daddy.,go back to the zoo.,oh.,he's a cat.,he's sitting on the chair.,and the chickens come out.,oh yeah I see you did.,oh my gosh.,so then we gotta clean up.,so it's just one.,can you tell me what's in the box.,and this is the little boy.,yeah I've got some more of those.,and they go zoom zoom.,"oh, so you're a car.",and that's a horse.,how about you take a peek at your brother's tray and see if you can see what's on his tray.,okay.,and then you go to the stove.,she's got her own little couch.,there's a bird there.,you know what's in there.,yeah.,they're still there.
"oh, a cat.",here we are.,see the dog.,that's a monkey.,oh you got a family.,little bird.,wow look at that dog.,hey there.,"they have a big, big house and they have a lot of rooms in their house.",you're going to do it with your feet.,where's the dinosaur.,what do you think we'll see today.,okay.,you got some cows there.,and then they go.,it's a ball.,right.,yeah and that's what we need.,that's a car.,she saw some cows and some pigs.,that's the cereal.,that's right.,you know what's good.,"you can't put your books down, you'll break them.",and a blue jay.,are there any cars that you like.,there's a dog in the backyard.,yeah we had our cake yesterday.
oh the cat.,the house.,and then you have your furry friend.,what's this.,yeah.,a bird.,oh what's this.,you wanna get a cat.,yeah.,this is a baby rabbit.,you have a big truck.,you know what.,I think you know how to say cat.,oh I can't wait to get to the zoo.,you have the train.,what's this.,wow look at the big kitty cats.,okay.,and I'm gonna put it in the car for you to go to school.,and what was that.,you gotta use the spoon.,there was a lot of people there.,what kind of milk.,no it's not.,what's a bird.,that's right.,the dog's ears are big.,they're all together.
where's the kitty kitty.,look at the table.,come on let's go get your coat.,doggies.,okay.,there's a bird.,a dog.,yes that's a cat.,wanna go outside.,okay.,right.,and then she's driving.,that's a big elephant.,he's got a very nice name.,I'm gonna put the doll on the chair.,okay let's see.,you wanna go.,there's a truck.,you know what's on the car.,oh those are some big cows.,okay.,he's not like ours.,honey it's not yucky.,I need to go to the garage.,oh bird.,here's a ball.,see all the things he's doing.,I see.
oh yeah.,look at the house.,right.,I see a bear.,see that's my cousin.,look at the birdie.,there's a dog.,it's a cat.,yeah.,what kind of animals.,you have a car.,yes.,you gotta hold the crayons down on the paper.,a cow.,I'm gonna put them in the box.,you want to keep them.,you can't get the hiccups.,you got the car.,okay now we're gonna go on to the next car.,I'll be with you.,okay.,we're having a party for you.,oh.,how did you get on the floor.,wanna see if we can get some more bird seeds.,we'll have a look.,she had a cute dog.,yeah they have a baby.
oh look at that cat.,yes that's a house.,he's a boy dog.,what's this?,what's that.,uhhuh.,wanna go for a walk.,wanna see the picture of the cat.,the roof is on.,they're called ducks.,it's a tiger.,and then you'll put the car on the floor and you can put some toys in it.,you mean where they are from.,that's a lion.,this is a baby.,are you getting your car out of the box?,yeah.,and go to work on a day that's not a workday.,I think it's a car.,what do you think about the sheep.,yeah.,yeah.,it's a hamburger.,oh yeah.,it's a blackbird.,okay.,he's the boy who lives on the farm.,that's a nice tissue.
yeah.,I think I'm going to do that now.,the big dog.,can you tell me about a baby lion.,yeah it's your favorite.,wow.,the dog's name is.,that's a cat.,oh.,that's a horse.,no that's a train.,that car doesn't run.,that's what you said.,we'll put it in the box.,okay.,look at this one.,okay.,oh a car.,what did we do on the car today.,that's a good idea.,that's right.,okay.,can you put your hands together.,a house is something you build.,okay.,you don't need the toy to play with.,they're going to the park.,we're going to go to Grandma's and Grandpa's.
oh that's a cat.,you see a door and a window and a staircase.,wow.,look at the pig.,let's put a blanket on the chair.,that's a bird.,he's a baby.,that's a cat.,yeah they're the same.,what kind of animals are they.,that's a car.,you know what they say.,oh.,you can have some fun with this.,are these toys the ones that you're gonna take to school.,I'm gonna play with the truck.,it was nice.,well see the car.,okay.,what about the turtle.,I can see you got some butter in your hair.,yes.,that's what we call the little spoon.,you can't do that.,it has a red neck.,okay.,you got a dog.,can I take out the trash.
hey.,this is a house.,here's a dog.,where's the baby elephant.,oh hey.,here's a bird.,oh there's a dog over there.,that's a cat.,well they're not here.,they're pigs.,are you going to play with these.,they're.,you can eat it and make it into a pencil.,that's a lamb.,there's one.,right.,I'm gonna give you a treat.,they don't need the car.,and what's that thing called that goes on the car.,and that's a sheep.,well that's right.,yeah.,it's a banana.,oh.,you could put a little bird in your hair.,you wanna play with the trucks.,yeah.,oh.
there's a cat.,hi.,okay.,baby.,oh they're my grandparents.,oh.,this is the dog's bed.,can I take it to the vet.,oh.,they're a bit of a mess.,oh that's a good idea.,look at the wheels.,see the cows.,yeah.,I'm gonna play with this one.,and he's a little man.,you can't go to the zoo with me today.,it's a little scary.,you know how to drive a car.,what's the name of this one.,okay.,and when you're with your parents.,there's a cake and it's a red velvet cake.,I'll put a piece of paper under it.,I saw a bird.,okay.,that's a big dog.,I thought you were going to give the dog some treats.
you're having trouble with the kitty.,there's a bird.,go away dog.,you're a little duck.,yes you can.,yeah.,where's the dog.,this is a cat.,and it's got a lot of windows.,what does the dog say.,you wanna play with the dinosaurs.,yes.,and you get a pig.,yeah.,and they're so pretty.,oh I thought you were playing with the doll.,do you want me to put it in the refrigerator.,okay.,that's right.,we can get a puppy.,we can do that.,yeah and I'm gonna sit on your feet.,it's not too hard to do.,oh.,you know what that is.,I can't get this one open.,okay.,yeah we're supposed to go to the movies.
go fast.,and a cake.,look at that car.,this is a ball.,and then it goes and it says paw.,yeah you can see it.,where's the dog.,come here.,oh you're just a baby.,you don't want to do that.,where's the baby in the house.,what's that?,oh what's that.,okay.,what's that.,and a cat.,okay mommy says it's time to go home.,what's that.,well you know what we're going to do now is we're going to clean up the house.,oh that's right.,here's a car.,there's a nice lady named Mrs. Lee.,a car.,and then the cat came back in and the bear went to sleep.,do you see that cat.,we'll put a little water in there.,do you want to see the house of my house.,yeah.
car.,you know what we're going to do today we're going to go to the park.,wow.,can you find it.,there's a cat.,oh what's that.,come on.,that's the cat.,no she's not.,oh what a lovely kitty.,you know what's a good one.,and it's my mother's birthday today.,what are these called.,and you can put it on the car and then you can go.,where's the elephant.,and the mama duck and the little ducklings.,Mommy's working on the car right now.,oh it's very pretty.,you're in the kitchen.,there's some lettuce there.,you know what I mean.,okay.,he's going to make a car out of this.,they're so adorable aren't they.,you know that cat.,I'm going to make some soup.,okay.,do you see the cat.
what is that.,it's the dog that's gonna bark.,oh.,yeah.,wanna see.,car.,oh we have a dog.,look at that.,oh yeah.,what's that.,there's another toy in there.,that's a nice dog.,wow.,car.,it's a bunny.,oh oh the tiger is here.,oh.,do you see the house and the dog and the kitty and the birds.,whoops.,a hamburger and a burger.,what's that.,okay we have to throw it out.,well that's it.,it's got a long tail.,this cat's called Kitty.,that's so good.,there's one.,"oh no, oh no."
we're going to see the car.,yeah.,and then you put it in the car.,oh.,here.,see the little tires.,doggie.,there's a big cat and a small cat.,that's right.,they're playing with each other.,okay.,yeah.,hey.,can you see the truck.,yeah.,oh.,who are those people.,what's the room called.,you're looking for something.,do you want some cheese.,are those two toys.,and we have a lot of food in the freezer.,oh.,he's a kitty.,what's that.,and what do you think it is.,so here we have a house.,oh what's this.
it's a car.,right.,hey.,and a pony.,the cat came out.,go ahead.,yeah.,look at the cat's tail.,I'll put it on there for you.,oh it's a cat.,wanna play with the cars.,who's gonna get us on a bus and who's gonna get us on a train.,this is your bed.,a car.,it's a tiger.,you have the little guy.,you think she's gonna tell you.,okay.,so the wallpaper is all the way around the house.,I think that's a banana.,I think you're going to like this one.,that's right.,wanna see the car.,oh I'm not sure but maybe we can just sit right here.,and there's the cat.,you know.,that's a bathroom.,you wanna draw a cat.
I got a car in the garage.,Daddy and I.,we're going to drive the car.,okay.,there's a cat in the house.,put the car away.,that's a dog.,a cat.,you're gonna be a big brother.,you're gonna get a cat.,that's the one.,I don't know why you think that.,it's okay.,car.,that's a baby.,okay.,we had some people over for dinner.,oh.,yeah.,okay.,okay.,you eat it.,and then they go down and it's a big roller coaster.,and then we'll get the cat ready to play with.,I'm going to see if there's a cat outside.,we'll be drinking milk.,it's the house that Jack built.,and then it'll go on a mission and it's going to go on a mission to find some cat food.
and it's gonna go.,you got a family too.,oh look at the car.,I'll put the blocks in the box.,and here comes the cat.,okay.,he has a long nose and a big mouth.,oh what's this.,okay.,where's your cat.,okay.,I'm sorry.,we're going to the store to buy some new things to put in the house.,I don't know if I can do it.,oh that's an ant.,that's right that's right.,oh.,I'll go in there.,well we're going to go down the hallway and then into the bathroom.,no we don't have any more cookies.,there's something over here.,you put the cheese on.,that's a car.,see what you did.,oh no.,what are you drinking.,let's look at your house.,oh my goodness that's so funny.
see the car.,yeah.,go in the car.,what's this.,go.,we can go back there now.,oh.,and that's a cat.,yeah.,come on.,look at all these toys.,you can play with her.,there's a little boy and a little girl.,you're gonna get a little sunburn.,you're very good.,this is a kitty kitty.,you're my big brother.,you can put that on the shelf.,you know when we're talking about the house.,okay.,it's called.,no.,okay let's try this one.,that's right.,there's a cat on the windowsill.,yeah we have some green grapes too.,oh.,what kind of cat is this.
oh yeah.,there's the whole family.,wow.,what's this.,and a cat.,come on car.,you're going to be a good big dog.,he's gonna go down the slide.,you can't take your baby out.,let's have a cat in our dollhouse.,here we go.,yeah.,okay.,can you see the car over there.,you know what he's going to eat.,do you like the giraffe.,that's right.,this is the front door.,I don't think we should go downstairs.,oh it's a chicken.,and then you put the toy car in the box and you put the toy truck in the box.,okay you can take one of these bags and we can throw them away.,and then the next car came and then the car after that and then the car after that.,come on let's see what he's doing.,you want to play with the cat.,oh I'll tell you what you can make with it.,yeah that's your bedroom.,wow.
look at the car.,you're a big sister.,wow.,you can play with that.,oh look.,see car.,oh yes.,this is a cat.,did you know that daddy and mama have the same hair color?,and they have their own special names.,you don't have a cake.,okay.,yeah that's a nice house.,uh oh.,it's a horse.,they're called ducks.,and then we were like okay well we can do a nice little family.,oh you're at the house now.,and then the toilet paper.,let's make some chocolate chip cookies.,you got a purple one and a yellow one and a red one.,right there.,hey look at the car.,it's a cat.,what are those.,do you think the dog would like some milk.,you're right.,you know the kitty cat.
there's a car.,what's the other one.,see the car.,look at that.,it's a cat.,there's a car.,you can't tell them.,that's a cat.,what's that.,and then you'll have a cat.,I'm gonna get my big blue truck.,hey sweetie.,okay.,you like your car.,what did they do with them.,no we're not.,and we're going to see Daddy on Saturday.,that's a chair.,oh the door's not open.,you have to be very careful.,the pumpkin.,I'll be right back.,you got the car.,there's a cat that's a cat that's a cat that's a cat that's a cat that's a cat that's a cat.,he's a kitty kitty.,they're not very big.,he's getting dressed.,right.
that's right car.,oh that's Daddy.,that's a car.,what's this.,he's not a cat.,it goes.,wanna go to the zoo.,what's a cat.,yeah.,see the cat.,you know what you wanna play with.,I'm going to get the dog.,and then he just kind of fell asleep and went to sleep.,you know what it is.,can you say animal.,you know it's really nice and soft.,that's daddy's.,oh.,okay.,I think the baby was hungry.,can you put them all on the top shelf.,no we don't eat in the kitchen.,we're going to get in the car and go to the zoo.,oh that's a cute little kitty.,that's the cat's tail.,you know that's a piece of cake.,okay.,you've gotta go get the cat.
there goes the car.,see mommy.,look at this car.,he's looking at the truck.,oh look at the cat.,you can play with it.,look at this little puppy.,can you say cat.,where's mommy.,do you see the cat.,they're both playing with a doll.,do you wanna go in there?,yeah they're the right way.,that's a truck.,that's a fish.,the lions are sleeping.,yeah you're gonna get a car.,let's put them back where they came from.,what does this one say.,oh that's a nice one.,let's get some new toys for the kids.,yeah.,it's a car.,we're going to sit on the chair and we're going to look at the cat.,"see how it says, kitty kitty kitty.",okay.,you can't eat that.,oh there's a cat.
look at the car.,we're all together.,and the car goes.,oh that's a pretty truck.,what's the cat doing.,oh look at the car.,hey.,and he was a kitty cat.,you know I'm gonna see how you're going to go to bed.,what's that.,here it is.,no.,he's not very tall but he's very strong.,what's that car.,you're a monkey.,where did we see them.,you know who's my favorite family member.,it's got a blue roof.,okay.,that's good.,you know what he's doing.,what do you do with your pencils.,and the car goes down the road and it's a good car.,right.,oh look at that.,oh.,okay.,they were scared of him.
we're gonna go for a ride in the car.,okay.,it's a car.,I love your hair.,come here.,we're gonna get you a toy car.,there's a dog there.,that's a kitty.,they're not right now.,a cat.,oh.,we're having a birthday party for your baby sister.,how about this.,you know I'm gonna go ahead and take out the front seat and we'll just drive around the parking lot a little bit and that's it.,what's that.,they like a nice treat.,so the family is having a party.,oh I'll be right back.,well if you want to sit down you can.,oh okay.,yeah.,we're going to have some dinner.,no.,what's that called.,here's a cat.,I think it's a pizza.,okay you know what's underneath the couch.,"it's not the cats, it's the dog."
oh what a great car.,that's Grandma.,I'm going to see if they're still at the car.,who's that.,look at the cat.,go to the back of the car.,that's a big brown dog.,he's a cute little kitty.,did you know you have a family.,what's this.,they're in the sandbox.,he has a brother and sister.,let's look at the house.,okay.,the lions are just like their dad.,what are these?,I'm going to put them in the dishwasher.,and you could go to the house and you could sit in the house and you could play games and you could read books and you could eat your food.,there.,you wanna eat some of that.,and the other one says huh.,we're gonna get some carrots.,the car has wheels and a steering wheel.,what kind of cat is it.,you're a cat.,no you can't.,okay.,you wanna go get it.
come here.,and then we go home and we have a bath.,"okay, we'll put it in the car.",ball.,you're gonna have to go and sit down.,look at the car.,and then the dogs jumped all over.,oh there's a cat.,and Daddy's in charge of the trucks.,and they're nice.,it's got a cute little face.,you're right.,well there's a stairway up to the bedroom.,he's a truck.,that's right.,so when she's ready to go on the road she has a little road with wheels that she can push down.,she's her sister.,there's the garage.,I washed the bed.,you're gonna get that.,what are you doing with the toys.,you're going to put the milk in the cup.,they're called bumper cars.,you know he loves that.,it's a cat.,you could try it.,I'm sorry.,that's what I told my mommy.
here comes the car.,yeah.,where's the car.,what's that.,do you see the cat.,okay.,do you want a new dog.,come on let's see.,and who's that.,a cat.,this is a dinosaur.,I think they're having a tea party.,that's where we live.,this is a bus.,that's a giraffe.,no.,I'm going to go see mommy.,and you're on the bed.,oh look at the blue table.,so there's some carrots in there.,right.,yes you can.,you gotta watch your back.,and then you put your fingers on the side of the box and you pull.,and what would you like to say to the cat.,it's a banana.,and the kitchen.,hey we have a cat.
here.,who's this.,that's a car.,this is a train.,you want to put the caterpillar in the hat.,that car.,wanna see the dog.,we'll see you tomorrow.,oh I got a bunch of crayons.,there's a cat.,you have a big box of toys.,that's right.,we're not in the house.,yes.,the cows.,and the baby kangaroo was born and the mommy kangaroo brought the baby kangaroo to her mommy kangaroo.,who is this?,we're gonna have a lot of fun.,where is the door.,I'll put the mashed potatoes in the bowl.,and then he got the big red ball.,oh what is it.,it's a cool car.,well I guess we could get some milk for it.,they're right next to each other.,you put it on your face.,and we'll be back in about two hours.,come on.
that's a car.,good girl.,yeah.,you can put the ring on the ring and on the doll and on the doll.,honey.,you wanna turn the key.,here's a big dog.,what's this.,you know the thing about the family.,you like the cat.,what's that.,you wanna go to the park.,let's turn on the light.,it's not a car.,I see.,so.,I have a friend's name.,that's your mommy's house.,do you see.,they're called pancakes.,and then it's time for dinner.,this one's got a hole in it.,okay you know what. I mean it's really not that hard. We're just gonna start from scratch. We're gonna start with a new set of wheels.,it's called Mister Mushroom.,and that's a cat.,okay.,I'm going to put it back in the box.,what's in the box.
we're going to play with the baby rabbit.,no it's not a cookie.,and a bird.,right there's a bunny.,you can't.,uhhuh.,bird.,and the house has got a porch and a porch swing.,and you're going to make them too.,birdie.,he's gonna eat you up.,you can use them all.,yeah that's a cow.,we got some more.,that's right.,that's a lot of dolls.,you wanna draw a bird.,oh you're just going to the store.,you wanna see.,do you see the little kitty.,you have a dog.,what's that.,see the wheels.,oh I guess that's the cat.,car.,oh I don't know who you are.,that's a bird.,a robin.
and we're gonna make it so the monkey can see the fish.,okay.,"no, no.",and she had the most amazing little baby.,what's that.,a bird.,there's a bird there.,I don't know.,oh that's the family picture that I got from my mom.,yeah.,a dog.,I think it's a purple one.,I'm going to look at the animals in the book.,do you wanna do some building with the blocks.,oh yeah.,see the red one.,they can fly over a mountain.,no it's not there.,it's a car.,that's a cat.,come on.,you can have a little bit of this.,that's a car.,okay.,well the car needs to be washed.,he's your uncle.,the duck is going to go for a swim.,that's a bird.
oh look at this.,look at the cheese and the ham.,little birdie.,that's a nice little rabbit.,oh you can't play with the cat.,there's a bird sitting on the branch.,look at that bird.,oh what's that.,that's right.,look at the bird.,that's a dog.,oh it's a toy box.,where's your little lamb.,no no.,he's got a big blue ball.,yeah.,they can fly.,I'll call them and they'll come to get you.,they're going to drive to the beach.,what's he doing.,that's a cute little dog.,it's a chicken.,wow you're a good driver.,come sit over here.,and there's a car.,my mommy and daddy.,oh that's just like the cow.,you wanna see the chickens.
that's right.,here's a yummy drink for you.,go bird.,can you say elephant.,you see the kitty.,oh what bird.,this is a robin.,and here's the washer and dryer.,okay.,wanna put on your cap.,do you know what's this one called?,that's right.,and then the chickens come home to roost.,yeah you're right.,and that's your piggy bank.,okay.,you know that's a sparrow.,I don't know.,no.,and the kitty is sleeping.,oh.,yeah I don't know about that.,right.,that's right.,I have the car.,okay.,and then we'll put the pigs in the pen.,that's a hawk.
you gotta go to the zoo.,and then we're going to make some cheese and we're going to put that on.,you know.,right.,cat.,bird.,okay.,it's a little bit.,I'm not sure.,wanna go get a bird.,yeah.,yeah that's right.,what's that.,that's a red one.,and the ball will fall off the stairs.,you know.,wow.,you're in a car right now.,no you're not a car.,there's a cat.,you know what he likes to eat.,it's got something in it.,okay.,and the cat had a ball.,a car.,who is the lady that looks like she's going to make you feel better.,I see it.,bird.
