3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
see the house.,okay.,what is that.,oh.,put it back in.,see that little red ball.,that's your brother.,a grapes.,it's a hot dog.,and the other people you live with.,and this is what the dog's name is.,I'm gonna go back to the truck.,what's that.,yeah.,come on.,look what I found out there.,you wanna put the car in the garage.,yeah.,can you take it to the kitchen and put it in the oven.,okay.,yeah.,yeah that's a duck.,right here.,oh what happened to your dog.,a panda.,that's your stuffed animal.,well what's for dinner.,they were so excited.
oh here's a house.,it's a toy.,look at the bird.,I guess they got tired of the baby and the baby's toys.,what's that.,I think you're thinking about the train.,Mommy and Daddy and sister.,look at this.,oh what.,did she get a bath or a bath.,so.,and a car seat.,who's that.,who's this?,come here.,you wanna clean the house.,you see those little lights up there.,that's right.,you can have the egg.,oh look at that dog.,"no, he's in the playroom.",he's a little kitten.,well you can play with them later.,you're not supposed to eat that.,I'm sorry I don't understand.,let me help you put those together.,you're a pumpkin.,I think the rabbit's going to get to the carrot first.
we're in the house.,no you shouldn't throw them.,it's a duck.,what's that.,you need a cup.,put it in the box.,oh no.,what's that.,no.,who's this.,that's right.,he's got a hood on top of the car.,no.,oh the guy who lives next door.,a cat.,okay.,yeah they're on wheels.,the birds are not flying.,that's good.,yeah that's not a dog.,and you can make them do tricks.,yeah.,yes.,we're not going to be able to see the puppies very much now that they're grown up.,yeah.,oh we don't need those things.,what are you gonna have for lunch today.,and then he's gonna grow up and go to college.
what's in that box.,here's a little boy.,bird.,what's this.,we have a house and a tree.,it's a little bit hard to see.,yeah.,yeah.,we're gonna make some pizza.,and they're going to stay with us for a little bit.,that's a dog.,that's a car.,they're two brothers and sisters.,do you want some milk?,she's playing with the other kittens and she's playing with them and they're all happy and they're playing and they're all happy.,that's in the kitchen.,oh okay.,what did you get there.,well it's not the food.,he's a dog.,oh that's funny.,you got a puppy.,I'll let you have this one.,what's this.,you know what he said.,they're just for the kids.,no.,you don't want the cake.
this is a house.,wow.,baby bird.,I'm not sure.,there's a shelf over there.,can you say blue.,can you find something for me to put it on the table.,no no no.,okay what do we do with the apple.,it's a family picture.,wow.,okay.,and then they'll go.,it's the time to go to school.,"I know you're hungry, you can have some cookies.",where's the stove.,oh my gosh.,and a cow and a pig and a sheep.,well we can have dinner.,you know what's really nice about the dog.,oh we're gonna play with the blocks.,that's right.,what do you think is in this box.,you can make a little sound for the dog.,a dog.,you know what it's called.,okay.,you wanna go to the zoo.
we're going to look at some houses.,let's put them in the box.,there's a bird in the tree.,you know.,you like the house.,okay.,yeah they're very different.,no.,I think that's a cake.,so we're all family.,and it goes around it.,yeah.,I don't think so.,well we're not going to get it because you don't have a license yet.,oh.,they're the little girls and they're all in there with their mommy.,wow.,oh the turtle is in the water and the rabbit is in the grass.,I don't think I'm supposed to give him that.,there's a dog outside.,okay.,can you say that again.,and then you're going to put them back in the box.,and a dog.,a lion.,that's a really nice ball.,there's some chicken.,they're just like us.
oh there's a house.,the toy.,bird.,this one's a red one.,I see the chair.,yeah.,who's that.,they're called pizza sticks.,that's right.,well you have to get down off of your bed because I'm going to put you on a blanket so you can't get hurt.,I'm gonna tell you about a dog.,that's a car.,there's a girl named Sally.,oh that's right.,he's just going to fall down.,do you like the house.,it's a good day to go for a ride in a car.,and you have a lot of animals in the zoo.,it's a spoon.,and then there's a guy in a hat.,yeah.,that's a very cute kitty cat.,huh.,no.,is it an ant.,the toy.,no that's not a chicken.,they're not.
you can't see them from here.,oh what's this.,bird.,wanna look at this.,go.,what's this.,it's your baby doll.,are you gonna make a pizza with the meatballs.,do you want another piece of bread.,oh.,there's a dog in the car.,look at the car and the people in the car.,and what did she do for his birthday.,oh yeah.,a cat.,this is a house.,yeah.,wow.,the cheese.,that's right.,where's the toy.,you can't have that one.,what's in that box.,you know what we can do.,here's a caterpillar.,you want to play with it.,it's spaghetti.,that's a good one.
okay.,oh look at the bear.,oh that's a big bird.,see the cat.,the roof.,what.,they're not in the car.,you wanna see.,that's a yummy burrito.,you are a big boy.,yeah.,let's go see if there's anything that we need.,I was just talking about your mommy and daddy.,who's that man.,wanna see some cats.,that's a chair.,where's the truck.,this is a clown.,you could say they're kind of like a little bit of jelly.,that's a funny dog.,oh.,you're gonna get all sorts of different animals.,do you think the car can go that far.,can we see the dog in the back yard.,do you see the duck on the pond.,and then we'll play with some toys.,what's that called.,what kind of bird is that.
you want to sit in the house.,that's right.,it's a little birdie.,right.,yeah that's right.,look at this.,yeah.,I'm going to make some spaghetti.,no.,you want to go down there and get some toys.,that's right.,yeah.,how come that's his brother.,and it's the same as daddy's.,that's not a cat.,okay let's go back to the house.,okay.,look at those eyes.,well.,oh I know.,uh huh.,oh my goodness.,you can play with them.,what's a dog.,and then you get a puppy.,oh.,you know how we have to take care of that.,I'm sorry.
the house.,it's a toy.,there's a bird.,yeah.,you're a very good housekeeper.,you can play with it.,right.,we got to wash our hands.,I think we're going to have some broccoli.,yeah.,I think you mean that it's your bed.,that's your car.,there's a book called the big book of family life.,okay.,he's a cat.,this one's on top of the desk.,you know.,a chicken.,yay.,we're going to go downstairs.,can you help me put this back in there.,I'm going to be the best animal.,you can play with this.,yeah and the dog has a collar.,oh my gosh.,we'll go see.,it's not a very good idea to have an apple.,no not a squirrel.
look at the couch.,you want to play with it.,it's a bird.,wow.,look at the door.,this one has a bang bang and it makes a noise.,we're at home.,is it chicken.,what's that.,Mommy's name is Lisa.,there's a puppy on the car.,oh.,that's right.,yeah it is.,it's a cat.,oh this is nice.,oh.,no.,okay.,what's your favorite.,you know that's right.,I see you're interested in animals.,you're right.,wow.,what does it say.,hey.,that's right.,you're not in a hurry.
we're at the house.,you're gonna play with them.,see the bird on the roof.,what's that.,he's a little boy.,we can go back to the cars now.,the little girl is holding a shovel.,okay.,that's right.,you know where the kitty goes.,do you have a dog.,"yes, you're driving the car.",yes that's right.,and Daddy was going to say hello and get ready for a hug.,I see a cat.,okay.,see that car.,that's right.,I think it's going to be a cake.,and then they're not just going to sit in the grass and lay around.,right.,yeah.,okay.,that's a good one.,this is a bee.,where did you put the bubblegum.,this is cranberry sauce.,no no.
come on baby.,you gonna eat it.,that's a bird.,oh.,can you see the lights.,okay.,and mommy.,hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm,here's some crackers.,oh.,oh look at the dog's nose.,and the tires.,you're going to play with my big sister.,that's Mommy's.,where's your cat.,how about a house that you live in.,you got a red one.,you see the goat over there.,yes.,yeah.,and then you go back to where you started.,yeah.,I think they're both on the same side.,you know what.,there's a lot of animals in here.,right.,you wanna have some of that.,and this is a beetle.
what a big house it is.,look at that one.,bird.,oh look.,that's my bed.,and what's that.,can you give me a big hug.,here it's a bowl.,you can see the pear.,oh yeah.,you know what? I'll put it up.,that's a car.,oh I'm sorry.,you can't touch that.,right.,oh I see you've got some new furniture in here.,oh you know what I know what's that.,that's the chicken.,okay.,that's a big dog.,this one has a tire on it.,the kitten's going to go in there.,yes.,he's not gonna be able to be a dog anymore.,okay.,okay.,you can't get the peanut butter.,that's okay.
yeah that's a house.,right.,bird.,what are these.,that's the table.,what's that.,right.,okay.,let's have a little bit of this one.,oh yeah.,there's a picture of a dog on the page.,oh.,the boy was trying to be a good brother.,you gotta put this in there.,we have a cat and a dog and we really love them both.,you're gonna go and put that in the trash.,no no.,well it's an animal.,yeah.,it's a puppy.,yeah.,a snake.,yeah.,what's that.,what's that.,what's this.,yeah.,oh look at the lion.
