3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
there's a car.,see the car.,I don't know what car it is.,kitty.,okay.,there's no.,look at the little penguin.,it's a bird.,the cat.,no no it's a pheasant.,you're gonna get a big one.,yes there is.,hey did you see it.,and then it's going to fly away and you're not going to see it anymore.,and the car goes to the park.,and the cats are in the baskets.,that's a cat.,oh you got a new house.,oh this is a little brown puppy and he's wagging his tail.,that's your dog.,yeah we have the bluebirds in the backyard.,I have a piece of cake.,I think he's a giraffe.,what's that.,I'm glad you got a new bed.,what's that bird's name?,oh they are so cute.,you wanna tell me about the dog that's running around in the park.
hi.,that's right.,here's a bird.,there's a window here.,yeah.,you like the floor.,okay we're going to put the furniture together.,oh my goodness what is that.,a bunny.,can he bark?,that's a duck.,no.,you think they're gonna come out and play.,what is that.,and then he went and made a big pancake.,what's the name of the dog.,you can't.,hey.,you're gonna get a new one.,okay.,what did you say.,oh yeah.,the ball.,it's not supposed to be on the floor.,and we'll see some dog pictures and you can tell me what they say.,and the car went through the forest and came out the other side.,that's a good idea.,it's a robin.
yeah.,that's a bed.,you're gonna take me to the car.,the house is so pretty.,we're not gonna eat that.,yeah I'm going to get my backpack and walk to school.,that's a hawk.,what's that.,it's a wiener dog.,I'm going to make some bread.,no.,you go to the bathroom.,yeah.,wanna draw a cat.,well let's go back up the stairs and you can get your toys back.,it's a long story.,that's what it's called.,you want to go to the bathroom.,you don't want it.,I like that one.,I'll show you a book about a dog.,you can put them in the basket.,this is a cupcake.,he's got a tire on his back.,here we go.,wanna draw a dog.,yeah that's really good.,and so it is a little bit of a different family.
car.,the cat.,let's see.,and they're flying around in the air.,yeah.,you're gonna put that right there.,see the car.,what does that one say.,that's for baby.,no.,okay.,what do you see.,he wants to eat the mouse.,it's a good job.,can you get that off.,he's like a rocket.,and it's got a ball.,a car.,well you know what we're gonna do now.,yeah.,here's your cat.,he's so small.,what's that.,well you're a dog.,we'll put the dog's collar on.,do you wanna play with them.,oh that's not good.,what's that.
he's a puppy.,house.,oh my goodness.,you want me to get you a spoon.,you're going to have a good time.,no no no.,"no, you can't have any more.",oh that's a nice pink and blue.,okay.,we have a car and we have a train and we have a truck.,I love you.,yeah.,a bed and a table.,okay so that's a robin.,do you like this house.,can you open the door.,oh that's a good car.,we're going to take some pets to the vet.,that's a cute cat.,and it is a pig.,yeah.,"okay, it's a bull.",and then it goes down a ramp and down the hill and the car goes really fast.,and the pancakes have.,and then he's like and you know he's like oh what do you know what is he doing oh I'm not sure.,you don't want me to hurt you.,he's got his hand on his mouth.,and we're going to have a race with the cars.
oh we're gonna go see a movie.,where's daddy's car.,here.,it's gonna be so yummy.,a gingerbread house.,you can't really see it because it's hiding in the grass.,I'll go get some more water for you.,oh it's a dog.,yes.,can you have some chips.,oh what a bird.,he's not a baby cat.,what's that.,oh that's a car.,that's a window.,yeah.,that's right.,a place to live.,oh there's a big dog.,I see you have a book.,you're right.,there's a little black cat.,they're so cute.,and a banana.,I think this is a car.,there's a bird.,do you see a dog.,it's a blue car.
what's that.,the bird is in the tree.,it's a little birdie.,you've got so many.,come here.,there's the yellow one.,and you wanna sit on your chair.,and she eats cat food.,there's a house.,do you wanna pet that.,you have a lot of books.,I saw a bird.,well it's not a thing it's a person.,okay.,I'm gonna take a look at the car.,you go to school in the car.,you're right.,so that's who your aunt is.,okay.,so what kind of toys would you like to play with.,I'm not sure that's a cow.,you know what? what did he do.,I think you're gonna like it.,that's a cat.,well let's see what we can do with the dog.,and then when you get home you can take a bath and then you can go to sleep.,yeah.,I'll make a little dog.
come here.,what's that.,you want the blocks.,that's a door.,you can take it off.,and this is a bird.,okay.,you're going to be a mommy.,I guess you just took the bath and then changed into a new one.,where's the car.,okay now we'll try and get it to go.,okay honey it's okay.,you'll see a car that looks like this.,uh oh.,that's a cat.,I'm gonna go look for some bananas.,let's just go over there.,we're gonna paint the wall green and red and orange.,I'm going to turn on the radio.,yeah.,where's mommy's purse?,this one's a little duck.,it's not a kitty cat.,yeah.,who's the girl in the picture.,so he's a little bit different from them.,he's a very brave little guy.,you wanna sit up and look out the window.
who's that.,where's the cat.,wow what's that.,and a cat.,the house.,bird.,what's that.,wow.,oh.,yeah.,see that baby.,oh look at the car.,I'll go get your car.,I'm sorry.,that's a baby bird.,oh no you didn't.,what's this.,can we go to the zoo.,he has a little hat.,there it is.,I want you to go and ask your grandma if she has any more green beans.,and a car.,you know he was talking about like a really good place to go.,I think it's time for a bedtime story.,he's going to get his tooth out.,okay.,okay.,so you have to go get the bread.
it's a house.,you're holding the ball.,oh the dog's back.,go to the car.,a puppy.,yeah.,right.,oh.,well then we'll start.,you know what I mean.,we have a turtle and a snail.,I have a train set.,can you get the mail out?,well we're going to put it in the dishwasher.,uhhuh.,we're going to have a baby car.,and then the little dog's tail wagged.,do you remember what that is.,he's a little cat.,that's not a cat.,that's a carrot.,I like this one.,okay.,no you can't.,and you can't ride it.,I'm sorry.,oh look at this car.,and a toy truck.
it's family time.,and then a sheep.,yeah.,what kind of bird is it.,oh we have to make it blue.,you go in.,what do you think you're gonna do.,right.,okay.,it was a pig.,that's right.,I'll get the car.,what else.,what's your name.,what's the difference between a dog and a wolf.,okay.,I'm glad you're happy to eat it.,they are not pets.,you're such a good friend.,oh that's a funny bird.,they can have baby bunnies.,look at the birdie.,and a little bit of cream too.,he's got a little blue car.,you can take a little bit off the edge.,I think it's a hawk.,that's right.,I think he's going to get a new tail.
hey car.,this is a cat.,we're gonna go to the park.,no.,here's a bunny.,I bet it's the toughest thing in the world.,oh we have a doggie.,and Mommy and Daddy and the kids.,and what is that one.,can you show me your family.,he's walking down the street.,oh you're talking to the dog.,I think the chickens have found their own home.,what's this.,it's a duck.,a lot of things you can put in a pot.,and the carpet is a little bit dirty.,I'm sorry.,what's that.,look at that.,what a beautiful bird.,can you get the water.,and that's a car.,okay.,no cats.,they're really really cute.,there's a lot of different kinds of foods.,that's the cat's.
look at that house.,and we go to the zoo and we see the giraffe.,car.,oh no.,look at the bread.,that's Daddy's.,yeah.,Mommy and Daddy.,it's a little dog.,look at the cow.,the lion goes down and the lioness goes down.,you know.,and we're going to watch this.,a big dog.,this one's an owl.,okay.,they're little little birds.,yeah.,there.,okay I'll make you a little house with a door.,the bird goes.,he's on the floor.,well what's that.,you'll see it at the zoo.,okay.,they're just a little dog.,you know what.,well it was a baby elephant.
okay.,oh my dog.,yummy.,look.,this is a house.,what's this?,yeah.,it's a bird.,I like this house.,let's put them away.,I think there's a bird in there.,oh look at the bear.,oh what do you say.,you're not going to drink it.,what's the word.,you wanna have some popsicles.,you got a bedroom.,what's that.,and then.,wow.,so we can eat.,and I want to make a snowman.,I'm not.,they're big.,yeah.,and you're going to have to be careful driving the car.,that's my brother.,oh.
what do you want to eat.,wanna play with them.,where's the cat.,he's making a fire.,where's the car.,you like dogs.,wanna see your dog.,see the house.,and look at it.,I gotta go pick some up.,yeah.,you know what a cat is.,what did he get.,you can see the trucks going to the store.,yes we can.,honey.,what's that.,no.,do you know what a bird is.,that's a duck.,there's a cat.,we have three ducks.,oh they're so cute.,the kitty cat is having a nap.,car.,you're going to have some of the salad.,and you can look at a picture of it.,we have a cat in the house.
look at the cows.,a piece of gingerbread man.,oh yeah.,do you see the ball.,hey look.,here's a rabbit.,we're gonna go get some food from the store and then you'll see what's in it.,that's a horse.,do you want me to get you some more toys.,you gotta eat them.,oh that's a very nice car.,see the cat on the floor.,oh.,what's your family like.,a car.,you can put it right on top of the nest and they'll take it right back.,a red one.,and the bird flew out of the nest.,he's a dog.,you're right.,where's the toy.,see that one.,oh.,do you remember what they say.,what's that.,what's that.,and it's for me.,I'm going to show you what you need to do.
yeah it's a kitty.,hi.,this is a cat.,bark.,and you can put them back in the box.,where are the rest of the people in the house.,I'll put the bird in the nest.,cat.,that's a cardinal.,you know it's a robin's egg.,what's that.,you want to play with your friend.,we'll get out the bowl and get the peas.,they're both in the bedroom.,yeah.,okay.,wanna look at the ducks.,a. yes.,do you want some cheese.,well this one's a big truck.,oh that's a funny little bear.,okay.,you gotta put your toys back in their boxes.,oh my goodness.,okay.,and what do you think Mommy should make for dinner tonight.,okay honey.,they like to eat.
there's a bird.,that's a horse.,that's right.,see the cat.,yum yum yum yum yum.,there's a bird in the tree.,that's right.,there's a puppy.,oh my gosh what's this?,and a clown car and a bicycle and a carpet.,you can get a dog.,you know.,we're gonna put the bumpy ones on the left and the smooth ones on the right.,yeah.,hey.,that's right.,you're in a car.,and what's a cat.,let's go in the car.,you're gonna get a new one.,yes.,it's a red car.,you're very special.,what's the difference between a house and a castle?,well that's a good idea you know.,and he has a pink nose and he likes to make his tail wiggle.,oh.,and the elephants come back to eat the food.
you're gonna have a dog.,right.,we're getting ready for grandma's.,look at all the cars.,what bird.,you wanna play with the dog.,do you want some more cookies.,he's like a duck and a chicken.,"well, look at this, it's a book.",you have a car now.,here's a book.,do you see any other dogs on this page.,the one with the little rabbit.,and then we'll see if we can find a bird and if we can't we'll go to the park and look.,it's a car.,that's good.,little bird.,can you say dog.,and it's a bunny.,who is she.,look.,oh.,that's a nice hat.,well they're in the attic.,do you wanna go find a bird.,I see what you're thinking about.,what's this?,you know what they say about chickens and eggs.
look at those house and those big houses.,there's a bird.,uhhuh.,look at that little duck.,that's a door.,a birdie.,a robin.,yeah.,he's a kitty.,where are we going.,it's a blue bird.,oh no.,a house.,you can see the green grapes.,yes it's a piece of cheese.,what's a dog's name.,he's going to be a dad.,you know what she's gonna eat.,right here.,you know what it's like.,where's the cat.,I'm not sure.,that's right.,that's a banana.,right.,he's in the hospital.,that's a cat.,that's a very good story.
oh look at the car.,oh.,look at the dog.,cat.,okay.,there's a bird that's kind of like a chicken.,you get a bone.,oh bird.,what's that.,a bird.,oh.,and then we go to your grandma's house and see your brother and your cousin.,do you see the bird.,okay.,I mean I don't have any more toys.,you can eat that.,bird.,that's a good dog.,that's right.,that's a kitten.,oh.,well it's not like a baby toy because it's too hard.,oh the birds can't get away from you.,and what's this?,oh the house.,right there.,you think it's a good idea to do it.,you're making the noise of a lion.
we're gonna go to the park.,yeah.,oh my goodness.,there's a ball there.,you wanna sit down.,oh I have something to put in the trash.,do you see the baby.,I'm going to get some more food for you.,it's like a little dog.,look at this toy.,let's play with the cars.,right now I have a picture of a turtle.,let's go to the pet store.,you're doing that for me.,that's a cat.,are you going to play with the blocks.,what's in there.,there's some goodies inside.,that's right.,okay.,what's that.,and you're going to need to hold on tight.,I think it's a picture of mom and dad.,okay.,oh.,oh my goodness.,we're going to read a book.,and then we'll take the truck.
mommy's gonna take a nap.,okay there's a bird.,see.,here.,wow.,yeah.,oh hey there bird.,yeah it's a car.,a cat.,there's a big yellow triangle.,do you think they're having a party.,a pizza.,a bird.,that's a little one.,you can see a little deer in the picture.,here we go.,she's a cat.,he has a whole box of tires.,and then it's going to be a little bit bigger.,well let's go outside and see if we can find some birds.,oh.,that's right.,yeah I wanna go get my puppy.,well.,they're driving.,where is the house.,you need a steering wheel.,you're a very good girl.
you can get a little bit.,let's go see a dog.,what's a bird.,that's a chair.,oh yeah.,bird.,this one's called a bathroom.,oh he's gonna make you some toast.,who's that.,oh here's a baby cow.,what's this?,and he's not playing with any.,where does the cat go when the dog gets mad.,we can get a bird for your room.,there's a bird in the tree.,he's a dog.,no.,I'll make you some sandwiches.,yeah.,that's a bird.,you're gonna get me a picture book.,we're gonna make some pizza.,you wanna eat it.,oh it's a penguin.,right.,is it a car.,well see this is what it looks like.,oh.
we're going to play with toys.,yeah.,we need a daddy.,kitty.,here.,oh.,yogurt.,where's mommy's purse.,you know it's a kitty.,and they're not in a nest.,she is a puppy.,it's on its head.,oh good.,so that's the dog.,the bird.,you know what a car is.,he's the king.,okay.,oh there's another cat.,I'm trying to find you.,yeah that's a robin.,we're going to go to the beach.,and it was so pretty.,you want to go to the kitchen and get a cereal box.,okay.,what's that.,do you remember the book.,no.
wow.,where's the dog.,no.,let's go.,well what's the other one.,there's a door.,and the car goes fast.,you got your own bedroom.,what's that cat's name.,there.,what is that dog doing.,see that car.,what's that.,they're like birds.,what do you see.,this is your car.,what is that.,oh you're right.,and here's the little red car.,and the house is blue and red.,we're going to read a book about some animals.,no not right now.,okay.,do you know what the name of that thing is?,you wanna take a picture.,where are the carrots.,okay.,oh yeah.
and you're gonna have two.,I'm gonna get the dishes out.,let's take a ride in the car.,yeah.,see the light.,hm.,come here.,well who's in the car.,you know.,you see that bird sitting on that branch.,oh I know it's your favorite.,what's this.,yeah.,oh.,oh that's so good.,it's on the roof.,yeah.,uhhuh.,you see those.,a lion.,well they're going to be a part of our play.,there's a little red bird on the telephone wires.,you know what car is.,he's going to be a boy.,what's the one thing he needs the most.,what's that thing.,oh you mean the one with the fluffy ears.,hey.
oh dog.,what's that.,there's a bunny.,you want the book.,what's this?,wanna see some.,okay.,okay.,what's that bird.,oh he's got some pancakes on him.,you wanna get that out of the box.,so let's see what else is in there.,and they have two kids too.,and then we can take her home.,you see the birdie.,you are with me.,let me see.,okay let's go.,yeah I remember.,we can eat it.,you're gonna need a bigger bag.,what.,oh okay.,he's a cat.,okay.,can you say bird.,I thought it was so strange because they were all sleeping.,that's the cat.
here's a dog.,oh no.,look at the cookies.,this is a house.,you wanna look at the giraffe.,you put it back in the box.,uhhuh.,there's a nice bed.,you wanna go back to the store and get another.,you're gonna get all the food.,we're gonna clean the house.,the cat and the dog are together.,it's a dog.,okay.,oh that's a pretty little dog.,you're right.,and they have a special place.,you know what I mean.,oh no.,and they're going to have a baby.,look at this one.,oh you're a cat.,this is the bedroom.,it's a car.,that's right.,you gotta keep your eyes on them.,what does that mean.,I'm sorry.
yes.,let's go to the car.,yeah.,we have a doll and a train and a truck and a ball.,I think the car's going to the store.,you want the big bird to go in the trash.,here's a carrot.,oh.,put it down.,and the cheese and the ham and the turkey.,you have the green grapes and you have the blue grapes.,it's a bathroom.,you know.,oh what a bird.,we're going to have a good time.,you can't take him home.,I think it's a toy.,oh wow.,do you know what a muffin is.,what's that one.,what's that?,do you want me to take you to the zoo.,so you're saying we're all ready.,so you have a little house.,you wanna draw a picture.,you can't put the tires on the car without the car.,that's a cat.,she's in a house.
and I'm so excited to get a cuddle from you.,you're getting a haircut.,no barking.,we need some meat.,can I go see them.,here's a bird.,see the cat.,and a cat.,okay.,this is the juice.,you're right.,oh that's right.,they're chicks.,what's that thing.,"a. he's like, he's like a little bunny. b. he's like a little bunny. c. he's like a little bunny. d. he's like a little bunny.",oh what.,see the bunnies.,wanna see the car.,the same.,that's a nice picture.,and there's a little one with a little white beard.,I'm so sorry.,he's gonna go into the house.,you wanna play with this.,I think they're chasing each other.,yeah.,she was like a little bunny rabbit.,and we'll eat something.
what a little red ball.,yeah.,okay.,look at the cat.,and that's a bathroom.,and we have a kitty.,yeah they're big they're big they're big.,see the bunny.,no that's not a bird.,there's a car on a hill.,and the little cars they're on wheels and the little cars they're on wheels.,oh okay.,"oh, that's not a bicycle.",and that's what we call a horse.,and he's a good boy.,hey.,it's a kitty.,I'm not going to do that.,do you like this.,you can have it.,I don't know.,can you pick up the ball and put it in the box.,yeah.,you're gonna get a lot of that.,and this car's going really fast.,you can take them out and play with them.,oh it was a birdie.,you're gonna have to look at the paper.
that's the banana.,this is a horse.,you're a good boy.,can you see your brother.,where are the trucks.,come here.,do you see it's a dog.,we're having eggs.,we're going to get a new dog.,and the cat.,what does the dog say.,he is a cat.,you put a collar on her.,you're gonna take care of this little dog today.,oh look.,that's not a dog.,and it's got a lot of different things to play with.,uh uh.,well there's a little one and there's a big one.,I'll open it for you.,what's that called.,let's go outside.,we're gonna watch a video about birds.,she's the cat that hates to drink milk.,we don't have any more seeds.,oh.,there's a table and there's a couch and a chair and a bed and a TV and a desk.,oh.
what's this.,car.,hey look.,bark.,who's that.,you are a good brother.,look.,that's a car.,let's see what's up there.,oh there's a car.,that's a sparrow.,and the juice is cold.,a big cake.,okay here's a bird.,you are gonna make a really good cupcake.,you're gonna eat.,you know what I mean.,oh.,do you see the cat.,they're not big enough to carry.,let's pretend we're driving.,how did he get the juice on his nose.,and you're in the kitchen.,he's a little bit bigger than a dove.,well I think we're going to go to your brother's place and we're going to take care of him.,where is the dog.,okay.,and then the little baby.
they're big.,oh.,that's a bird.,see the cows.,see.,I'm gonna get him off the couch so he can go outside.,you're gonna get your pajamas on.,can you take care of your sister.,oh that's a nice car.,what's that.,we'll take those off.,and what are these.,what's that.,do you want to see pictures of me.,okay.,you're going to get a bird.,okay.,let's go for a ride.,there's a bird outside.,okay what's on it.,that's a car.,uhhuh.,I'm gonna take the car out of the box.,oh you can't have a house because you're still a baby.,no.,what's that.,okay.,he put a banana on top of it.
where's Daddy.,let's go play with the toys.,that's a bird.,go.,oh you're holding a car.,it's a chicken.,and then we'll put it in the washing machine.,is that a toothbrush.,that's a sweetie.,see you see the car.,that's a robin.,yeah it's a car.,I'm gonna give you one now.,yeah that's a good idea.,so what's the difference between a house and an apartment?,and if you're a cat and you're not a cat and you're a rabbit and you're not a rabbit and you're a dog and you're not a dog.,a hawk.,you're right.,it's a pretty cat.,you're gonna play with that.,I think I'll have some milk.,and you're going to be a good boy.,there's a cat in the window.,what did the turtle get for Christmas.,look at that little girl.,that's right.,he has an earring.,and you're gonna build a house.
oh let me get the cars for you.,yeah that's a ball.,who's this.,dog.,that's right.,yeah it's a chicken.,what's the matter.,the chickens are eating.,uhhuh.,wow.,and I'll try to get you one of those.,what's a cat.,that's a good idea.,you're gonna have to put your pants on the other way.,that's a good idea.,I'm going to read you a story about a house.,oh.,there's a kitty.,"and it says, ""the toys are in the box.""",they're in the trees.,you're a car and I'm a bus.,and then the cat goes away.,they're beautiful.,here's the mushroom.,you see that there's a red car there.,and the house is really old.,and then he can have more.,okay.
oh house.,wow.,look at Mommy.,bark.,do you want me to put the kitty on the floor.,it's gonna be the end of the year.,do you see the little ladybug.,where's the cat's tail.,no it's a ball.,come here.,where is the cat.,what's that.,and grandma is in her house and grandpa is in his house and mom and dad are in their house and we're all in our house.,I guess she's just a little dog that's not as good at playing as the other one.,doggy's a dog.,the dog's name is Patch.,there's nothing.,let's see. what's this dog doing?,and then.,I'm going to put these in the boxes.,so if you put that one over there we can see all the toys.,that's a dinosaur.,I see what you're trying to do.,let's see.,there's a dog in the yard.,and they have a pink nose.,no.,you're a good dog.
oh it's a baby dog.,you know.,little duck.,oh the dog is a big one.,this is a baby rabbit.,and you can put them in the laundry basket.,I'm gonna put a sweater on.,we don't have a toy truck.,that's a wolf.,a dog.,well you don't want him to scratch the baby's ears.,what's that.,I'm not really sure what the big green thingy is.,oh.,we're not having any dogs.,I think that's a cat.,that's what.,so we can have a bird.,and grandma and grandpa and the babies.,that's a cat.,she's not gonna sleep on your bed because it's not safe.,I'm sorry.,what does a cat do when it's sleeping.,it's your cousin's birthday party.,I'm sorry we don't have cats.,that's right.,it's a dog.,yes you could.
what's that.,let's sing a song about family.,oh okay.,you can do it.,wow.,come on.,okay.,let's play with them.,let's go get him.,the duck in the pond.,no he doesn't know it's not like a phone that's not a phone.,what's that.,this is the place where we sleep.,you see they have a door in here.,uhhuh.,they're going to get their pictures taken.,I'm sorry.,what's this?,and what's that.,what's that.,and now they're going to get all washed up and cleaned up and then they're going to have some food and we're gonna take them outside and they're gonna go in the backyard.,a little sparrow.,you're going to give him a bone.,oh my gosh.,the little dog.,you're gonna be a mother and a father.,I'm so sorry.,that's right.
do you have a little bit of food.,we're gonna take the chicken out of the oven and then we're gonna eat it.,I'm going to play with the elephant and the giraffe.,oh no.,you wanna have a car.,yay.,no.,look at the birds on the tree.,oh that's a great car.,and they're gonna eat them.,it's a shoe.,you're going to have some more pancakes.,see that's the one.,and then he came back.,I'm gonna get a bowl.,oh no no no no no no.,a frog and a turtle.,a cat.,do you see the duck on the boat.,see there's a little boy who's holding a dog.,did he run away.,it's a blue jay.,you got the keys right.,oh yeah.,we need a little bit more gas.,you go to school.,what's that?,oh the cat's sleeping.
bird.,who's that.,oh this is a train.,oh it's so cool.,no.,where's the bathroom.,he is with your dad.,yes.,and a car.,do you want to go outside.,oh.,and we can all play together.,wow.,oh here's my cat.,a cat.,you put it back in.,and a duck.,yeah.,the lights are all off.,that's a big house.,yeah that's right.,what do you think the dog's name is.,you have a picture of a bird.,I'm not sure.,yeah.,oh okay.,so we're going to be putting the dog in the backyard and we're going to be walking the dog in the backyard.,it's okay.
okay.,you've got a whole bunch of toys.,where's your toy.,"oh, that's a nice car.",you know we have a couple of pets.,what is that.,oh the dog.,you'll wanna put your arms up and your legs down and put your head down.,that's right.,I have a dog too.,you can have a piece of cake.,they're going on a trip.,you're going to have your own house.,you know the kitchen is where we make food and the bathroom is where we wash our hands.,that's Daddy's.,it's a car.,that's a very nice cat.,can we paint the outside of the house.,"I mean it's just a little bit, yeah.",and it's a pretty pretty little bunny.,I'm not sure what the difference between them is.,you're gonna get a cat.,that's right.,and we'll have car seats.,a little bit of cheese.,we'll start with a baby pig.,that's a truck.,the kitty is on the bed.
look at the bunny.,you know what it's like.,a bird.,can you get the peas.,car.,car.,who's that.,look at the cat's fur.,there is a cat.,nope.,that's a truck.,that's right.,that's right.,do you know about the kangaroo.,there's a teddy bear.,okay what's this.,I love you.,and that's where cats live.,yeah.,that's a bird.,there's a cat in there.,let's take the towel out.,the blocks are in the box.,well what else do you think you can put in a house.,that's right.,you wanna sit on the back seat.,a giraffe.,oh I see.
look at this cute little puppy.,there's a bird in the sky.,oh yeah.,there you go.,there's a cow.,oh that's so good.,doggy.,oh look at the kitty.,okay now you can put it back.,who built this house.,well how about your uncle and aunt and their kids.,he's very happy to see you.,there's a bird in the tree.,no it's a teddy bear.,can you remember that.,"okay, now what.",it's really nice that she can do that.,I like what you have on your shirt.,oh cat.,oh my gosh.,this is a bird.,you can't play with them yet.,I'll have to put it back.,yeah.,you know the red bull.,this is a car.,look at those dog bones.,they're going to take you to the hospital.
it's a puppy.,and then the cat goes away and we don't see the cat.,hi.,we have a lion.,look at the car.,and a kitty cat.,that's a bird.,there's a pig.,he wants some cereal.,yeah.,I'm gonna put this thing on.,there was a man.,what is that.,do you want the cereal.,that's the car.,oh.,it's like a bird in the snow.,oh.,you like cars don't you.,and you gotta get the ball.,he's a robin.,and they're just sitting on the counter and eating the eggs.,and they're so cute.,oh my gosh.,oh okay.,and they're going to take a walk with us.,oh no.,oh.
hi baby.,do you see that ball.,you see the birdie.,yes they're all green.,here's a truck.,it's a hawk.,oh there's a cat in the backyard.,bird.,and that's an egg.,we're gonna have a little party.,you're gonna put the cat down there and it's gonna be so much fun.,we don't have a car.,can you say bunny.,you have a very nice bowl.,and they make them go.,we're going to take the bus to go to the store and buy some groceries.,and it's so good.,and a car.,oh it's pretty.,they had to move the bookshelf.,what's this.,see the cat.,there's a lot of things in here.,there's a bird sitting on a branch.,it's a big dog.,that's a house.,and what's that?,I mean a very small kitten.
I'm sorry.,I gotta get this book out of the way.,yeah.,oh.,hi.,I guess they're both going to be ready soon.,oh yeah.,they're chickens.,where's your dog.,can you say rabbit.,and the little baby.,where's the big blue one.,oh yeah we went to see a cat at the zoo.,it's a good one.,you can't put that on your head.,okay what is it?,oh that's funny.,and what's this one.,that's right.,we're gonna have a goat.,you're not gonna let me ride in the car.,I'm sorry.,they have a little baby girl.,this is a car.,"a. b. c. d. e. f. g. h. i. j. k. l. m. n. o. p. q. r. s. t. u. v. w. x. y. z.

1. A. B. C. D.",do you think that was a tiger.,you see a little bird.,okay.
what's a cat.,a birdie.,okay you get that.,you see.,look at that cute cat.,and this one's called a truck.,oh where's the cat.,a giraffe.,she can't catch the cat.,the duck and the bear.,that's a robin.,and this is a tiger.,what else do we need for the table.,there's a kitty cat.,what's a dog.,that's a nice car.,it's a bird.,we'll have a little doggie.,okay.,you gotta keep your eyes on the road.,hey baby.,a lot of stuff to eat.,the bird's tail feathers are white.,yeah I'll go get them for you.,oh.,there's the box of cars.,you can put the house up again.,there's a little blackboard on the wall.
little bird.,and we'll go inside.,you can say kitty.,no.,and the dog.,wolf.,there's a bed in there.,there's a cat.,kitty cat.,it's a bedroom.,he's a pretty good dancer.,and then you go back to work.,yeah that's right.,a hawk.,we're gonna go over and play with the toys in the living room.,wow.,okay.,you know.,a dog.,we don't have any.,where's the dog.,you're so cute.,that's my brother.,yeah.,how about the blue one.,who is that.,you're going to get in the car.,can we go.
